scenario,standard,param_name,param_value,rng_run,flow_id,src,dst,txPkts,rxPkts,lost,lossRate_pct,meanDelay_ms,jitter_ms
capacity,80211ac,nMidi,1,1,1,192.168.1.2:49153,192.168.1.1:9,820,820,0,0,0.0445208,0.00418782
capacity,80211ac,nMidi,1,2,1,192.168.1.2:49153,192.168.1.1:9,754,754,0,0,0.0454173,0.00613276
capacity,80211ac,nMidi,1,3,1,192.168.1.2:49153,192.168.1.1:9,831,831,0,0,0.0461875,0.00747216
capacity,80211ac,nMidi,1,4,1,192.168.1.2:49153,192.168.1.1:9,838,838,0,0,0.044432,0.00412608
capacity,80211ac,nMidi,1,5,1,192.168.1.2:49153,192.168.1.1:9,934,934,0,0,0.0449208,0.00467043
capacity,80211ac,nMidi,1,6,1,192.168.1.2:49153,192.168.1.1:9,769,769,0,0,0.0457602,0.00655065
capacity,80211ac,nMidi,1,7,1,192.168.1.2:49153,192.168.1.1:9,849,849,0,0,0.0449848,0.00495338
capacity,80211ac,nMidi,1,8,1,192.168.1.2:49153,192.168.1.1:9,866,866,0,0,0.0445931,0.00416215
capacity,80211ac,nMidi,1,9,1,192.168.1.2:49153,192.168.1.1:9,958,958,0,0,0.0453808,0.00568829
capacity,80211ac,nMidi,1,10,1,192.168.1.2:49153,192.168.1.1:9,789,789,0,0,0.0452565,0.0054183
capacity,80211ac,nMidi,2,1,1,192.168.1.3:49153,192.168.1.1:9,883,883,0,0,0.0448155,0.00476266
capacity,80211ac,nMidi,2,1,2,192.168.1.2:49153,192.168.1.1:9,969,969,0,0,0.0444521,0.00427764
capacity,80211ac,nMidi,2,2,1,192.168.1.3:49153,192.168.1.1:9,846,846,0,0,0.0444889,0.00421939
capacity,80211ac,nMidi,2,2,2,192.168.1.2:49153,192.168.1.1:9,776,776,0,0,0.0446098,0.00419006
capacity,80211ac,nMidi,2,3,1,192.168.1.2:49153,192.168.1.1:9,956,956,0,0,0.0448991,0.00488129
capacity,80211ac,nMidi,2,3,2,192.168.1.3:49153,192.168.1.1:9,862,862,0,0,0.0451674,0.0055552
capacity,80211ac,nMidi,2,4,1,192.168.1.3:49153,192.168.1.1:9,795,795,0,0,0.0448802,0.00492953
capacity,80211ac,nMidi,2,4,2,192.168.1.2:49153,192.168.1.1:9,885,885,0,0,0.0449621,0.00508893
capacity,80211ac,nMidi,2,5,1,192.168.1.3:49153,192.168.1.1:9,998,998,0,0,0.0448304,0.00478967
capacity,80211ac,nMidi,2,5,2,192.168.1.2:49153,192.168.1.1:9,910,910,0,0,0.044867,0.00499495
capacity,80211ac,nMidi,2,6,1,192.168.1.3:49153,192.168.1.1:9,776,776,0,0,0.0454871,0.0052403
capacity,80211ac,nMidi,2,6,2,192.168.1.2:49153,192.168.1.1:9,772,772,0,0,0.0459096,0.0064134
capacity,80211ac,nMidi,2,7,1,192.168.1.3:49153,192.168.1.1:9,966,966,0,0,0.0450258,0.00508926
capacity,80211ac,nMidi,2,7,2,192.168.1.2:49153,192.168.1.1:9,938,938,0,0,0.0457205,0.00661288
capacity,80211ac,nMidi,2,8,1,192.168.1.2:49153,192.168.1.1:9,862,862,0,0,0.0446328,0.00429061
capacity,80211ac,nMidi,2,8,2,192.168.1.3:49153,192.168.1.1:9,976,976,0,0,0.0455268,0.00630166
