scenario,standard,param_name,param_value,rng_run,flow_id,src,dst,txPkts,rxPkts,lost,lossRate_pct,meanDelay_ms,jitter_ms
background,80211ac,nBackground,0,1,1,192.168.1.5:49153,192.168.1.1:9,890,890,0,0,0.0502374,0.00698309
background,80211ac,nBackground,0,1,2,192.168.1.2:49153,192.168.1.1:9,1025,1025,0,0,0.0513324,0.00699253
background,80211ac,nBackground,0,1,3,192.168.1.6:49153,192.168.1.1:9,893,893,0,0,0.0460686,0.00573011
background,80211ac,nBackground,0,1,4,192.168.1.3:49153,192.168.1.1:9,861,861,0,0,0.0454128,0.00411578
background,80211ac,nBackground,0,1,5,192.168.1.4:49153,192.168.1.1:9,780,780,0,0,0.0521932,0.00941807
background,80211ac,nBackground,0,2,1,192.168.1.4:49153,192.168.1.1:9,781,781,0,0,0.0444436,0.00297514
background,80211ac,nBackground,0,2,2,192.168.1.2:49153,192.168.1.1:9,930,930,0,0,0.0447525,0.00302244
background,80211ac,nBackground,0,2,3,192.168.1.5:49153,192.168.1.1:9,823,823,0,0,0.0502641,0.00630269
background,80211ac,nBackground,0,2,4,192.168.1.3:49153,192.168.1.1:9,896,896,0,0,0.0462839,0.00643071
background,80211ac,nBackground,0,2,5,192.168.1.6:49153,192.168.1.1:9,773,773,0,0,0.0463302,0.00367138
background,80211ac,nBackground,0,3,1,192.168.1.2:49153,192.168.1.1:9,924,924,0,0,0.0449915,0.0036629
background,80211ac,nBackground,0,3,2,192.168.1.4:49153,192.168.1.1:9,938,938,0,0,0.0494929,0.0072218
background,80211ac,nBackground,0,3,3,192.168.1.5:49153,192.168.1.1:9,921,921,0,0,0.0445839,0.00284603
background,80211ac,nBackground,0,3,4,192.168.1.6:49153,192.168.1.1:9,806,806,0,0,0.0452043,0.00385413
background,80211ac,nBackground,0,3,5,192.168.1.3:49153,192.168.1.1:9,880,880,0,0,0.0467263,0.00506942
background,80211ac,nBackground,0,4,1,192.168.1.5:49153,192.168.1.1:9,854,854,0,0,0.0506154,0.00621829
background,80211ac,nBackground,0,4,2,192.168.1.6:49153,192.168.1.1:9,973,973,0,0,0.0481646,0.00513644
background,80211ac,nBackground,0,4,3,192.168.1.3:49153,192.168.1.1:9,956,956,0,0,0.0454542,0.00438037
background,80211ac,nBackground,0,4,4,192.168.1.4:49153,192.168.1.1:9,861,861,0,0,0.0447078,0.00336747
background,80211ac,nBackground,0,4,5,192.168.1.2:49153,192.168.1.1:9,852,852,0,0,0.0478826,0.00527981
background,80211ac,nBackground,0,5,1,192.168.1.2:49153,192.168.1.1:9,714,714,0,0,0.045549,0.00432781
background,80211ac,nBackground,0,5,2,192.168.1.6:49153,192.168.1.1:9,798,798,0,0,0.044809,0.00333318
background,80211ac,nBackground,0,5,3,192.168.1.4:49153,192.168.1.1:9,864,864,0,0,0.0463519,0.00416118
background,80211ac,nBackground,0,5,4,192.168.1.3:49153,192.168.1.1:9,884,884,0,0,0.0460891,0.00493184
background,80211ac,nBackground,0,5,5,192.168.1.5:49153,192.168.1.1:9,867,867,0,0,0.0446441,0.00280452
background,80211ac,nBackground,0,6,1,192.168.1.4:49153,192.168.1.1:9,948,948,0,0,0.0453058,0.00393314
background,80211ac,nBackground,0,6,2,192.168.1.5:49153,192.168.1.1:9,771,771,0,0,0.0459463,0.00500874
background,80211ac,nBackground,0,6,3,192.168.1.6:49153,192.168.1.1:9,894,894,0,0,0.0445363,0.00315943
background,80211ac,nBackground,0,6,4,192.168.1.2:49153,192.168.1.1:9,862,862,0,0,0.0452125,0.00419326
background,80211ac,nBackground,0,6,5,192.168.1.3:49153,192.168.1.1:9,829,829,0,0,0.0446351,0.00310024
background,80211ac,nBackground,0,7,1,192.168.1.3:49153,192.168.1.1:9,854,854,0,0,0.044639,0.00266941
background,80211ac,nBackground,0,7,2,192.168.1.5:49153,192.168.1.1:9,936,936,0,0,0.0454726,0.00470579
background,80211ac,nBackground,0,7,3,192.168.1.6:49153,192.168.1.1:9,894,894,0,0,0.0457281,0.00480846
background,80211ac,nBackground,0,7,4,192.168.1.2:49153,192.168.1.1:9,957,957,0,0,0.0489451,0.00434777
background,80211ac,nBackground,0,7,5,192.168.1.4:49153,192.168.1.1:9,822,822,0,0,0.0453654,0.00433653
background,80211ac,nBackground,0,8,1,192.168.1.3:49153,192.168.1.1:9,940,940,0,0,0.046258,0.00558746
background,80211ac,nBackground,0,8,2,192.168.1.6:49153,192.168.1.1:9,781,781,0,0,0.0446008,0.00261462
background,80211ac,nBackground,0,8,3,192.168.1.2:49153,192.168.1.1:9,858,858,0,0,0.0536156,0.00736589
background,80211ac,nBackground,0,8,4,192.168.1.4:49153,192.168.1.1:9,1022,1022,0,0,0.0453542,0.00385207
